"course_name","date","tees","hole","par","gross","stroke","lie","club","yds_to_target","yds_traveled","on_target","miss_direction","shot_type"
"Randolph North","2026-04-19","blue","hole_17",4,6,1,"tee","D",275,279,"yes","on_target","tee"
"Randolph North","2026-04-19","blue","hole_18",4,8,3,"rough","GW",20,16,"no","right","chip"
"Dell Urich","2026-04-26","combo","hole_6",5,7,3,"rough","4",210,27,"no","short","full"
"Dell Urich","2026-04-26","combo","hole_9",3,4,1,"tee","PW",145,107,"no","short","tee"
"Randolph North","2026-01-04","combo","hole_3",5,5,1,"tee","D",270,270,"no","left","full"
"Randolph North","2026-01-04","combo","hole_5",4,4,2,"fairway","8",150,150,"yes","on_target","full"
"Randolph North","2026-01-04","combo","hole_14",4,4,2,"rough","9",150,150,"yes","on_target","full"
"Randolph North","2026-01-04","combo","hole_16",5,5,2,"rough","4",264,264,"no","right","full"
"Dell Urich","2026-01-11","combo","hole_2",3,4,1,"tee","GW",130,113,"no","short","choked"
"Dell Urich","2026-01-11","combo","hole_3",5,4,1,"tee","D",280,311,"yes","on_target","full"
"Dell Urich","2026-01-11","combo","hole_13",5,4,1,"tee","D",280,328,"no","right","full"
"Silverbell","2026-01-18","white","hole_1",4,4,2,"rough","4",220,219,"no","right","full"
"Silverbell","2026-01-18","white","hole_2",5,6,4,"sand","LW",15,14,"yes","on_target","gsbunker"
"Silverbell","2026-01-18","white","hole_7",5,5,1,"tee","D",270,282,"no","left","full"
"Silverbell","2026-01-18","white","hole_10",4,5,2,"fairway","GW",50,54,"yes","on_target","choked"
"Silverbell","2026-01-18","white","hole_14",4,5,1,"tee","D",270,277,"no","right","full"
"Silverbell","2026-01-18","white","hole_15",4,4,1,"tee","D",270,257,"yes","on_target","full"
"Randolph North","2026-01-25","combo","hole_9",5,6,2,"fairway","3W",240,222,"no","right","full"
"Randolph North","2026-02-08","combo","hole_17",4,6,2,"rough","8",165,210,"no","long","full"
"Randolph North","2026-02-08","combo","hole_18",4,4,1,"tee","D",270,304,"no","right","full"
"Dell Urich","2026-02-22","combo","hole_4",4,5,1,"tee","4",220,110,"no","right","full"
"Randolph North","2026-03-08","blue","hole_6",3,3,1,"tee","PW",145,143,"yes","on_target","tee"
"Randolph North","2026-03-08","blue","hole_16",5,5,3,"fairway","PW",20,21,"yes","on_target","chip"
"Dell Urich","2026-03-29","blue","hole_10",4,4,1,"tee","D",270,249,"no","right","tee"
"Randolph North","2026-04-05","blue","hole_1",4,4,2,"rough","PW",140,131,"no","right","full"
"Randolph North","2026-04-05","blue","hole_7",4,6,1,"tee","D",270,257,"yes","on_target","tee"
"Randolph North","2026-04-05","blue","hole_16",5,6,2,"rough","3W",250,222,"no","right","full"
"Randolph North","2026-04-19","blue","hole_5",4,5,3,"rough","PW",145,145,"yes","on_target","full"
"Dell Urich","2026-04-26","combo","hole_13",5,6,4,"sand","SW",10,28,"no","long","chip"
"Dell Urich","2026-04-26","combo","hole_14",4,5,2,"rough","8",160,80,"no","short","full"
"Dell Urich","2026-04-26","combo","hole_18",4,5,1,"tee","D",270,288,"no","right","tee"
"Randolph North","2026-01-04","combo","hole_6",3,4,1,"tee","9",141,141,"yes","on_target","full"
"Dell Urich","2026-01-11","combo","hole_7",4,5,2,"rough","PW",140,119,"no","left","full"
"Dell Urich","2026-01-11","combo","hole_14",4,5,3,"rough","GW",90,45,"no","short","punch"
"Silverbell","2026-01-18","white","hole_2",5,6,3,"rough","LW",60,50,"no","short","full"
"Silverbell","2026-01-18","white","hole_8",4,6,4,"sand","LW",20,15,"no","long","gsbunker"
"Silverbell","2026-01-18","white","hole_11",4,6,1,"tee","4",220,176,"no","short","full"
"Silverbell","2026-01-18","white","hole_12",3,6,1,"tee","9",155,170,"no","long","full"
"Silverbell","2026-01-18","white","hole_17",4,5,1,"tee","4",220,208,"no","right","full"
"Silverbell","2026-01-18","white","hole_17",4,5,3,"fairway","GW",100,120,"no","long","full"
"Silverbell","2026-01-18","white","hole_18",5,5,3,"fairway","GW",82,62,"no","short","choked"
"Randolph North","2026-02-08","combo","hole_3",5,5,3,"rough","GW",60,75,"yes","on_target","chip"
"Randolph North","2026-02-08","combo","hole_6",3,4,1,"tee","PW",140,140,"yes","on_target","full"
"Randolph North","2026-02-08","combo","hole_12",4,6,2,"rough","GW",120,36,"no","short","full"
"Randolph North","2026-02-08","combo","hole_13",5,6,2,"rough","4",230,100,"no","short","full"
"Dell Urich","2026-02-22","combo","hole_3",5,5,3,"fairway","5",230,108,"yes","on_target","full"
"Dell Urich","2026-02-22","combo","hole_7",4,7,4,"rough","SW",20,49,"no","long","chip"
"Dell Urich","2026-02-22","combo","hole_13",5,8,2,"fairway","5",200,145,"no","right","full"
"Dell Urich","2026-02-22","combo","hole_16",4,4,1,"tee","4",220,205,"no","right","full"
"Randolph North","2026-03-08","blue","hole_4",4,6,1,"tee","D",270,271,"no","right","tee"
"Randolph North","2026-03-08","blue","hole_4",4,6,2,"rough","8",161,26,"no","short","full"
"Dell Urich","2026-03-29","blue","hole_1",4,6,3,"rough","SW",35,34,"yes","on_target","chip"
"Dell Urich","2026-03-29","blue","hole_3",5,5,1,"tee","D",270,272,"yes","on_target","tee"
"Randolph North","2026-04-05","blue","hole_4",4,5,4,"fairway","P",10,10,"yes","on_target","chip"
"Randolph North","2026-04-05","blue","hole_7",4,6,2,"fairway","PW",135,97,"no","short","full"
"Randolph North","2026-04-05","blue","hole_16",5,6,3,"rough","SW",100,114,"no","long","full"
"Randolph North","2026-04-05","blue","hole_18",4,5,3,"rough","SW",32,16,"yes","on_target","chip"
"Randolph North","2026-04-19","blue","hole_1",4,5,2,"rough","GW",95,83,"no","short","choked"
"Randolph North","2026-04-19","blue","hole_2",4,5,1,"tee","D",275,195,"no","left","tee"
"Randolph North","2026-04-19","blue","hole_18",4,8,4,"rough","7",30,18,"no","short","punch"
"Dell Urich","2026-04-26","combo","hole_7",4,5,1,"tee","D",270,281,"yes","on_target","tee"
"Dell Urich","2026-04-26","combo","hole_8",4,7,2,"rough","3W",235,231,"yes","on_target","full"
"Dell Urich","2026-04-26","combo","hole_18",4,5,2,"sand","PW",150,2,"no","short","fwbunker"
"Dell Urich","2026-04-26","combo","hole_18",4,5,3,"sand","PW",150,142,"yes","on_target","fwbunker"
